Date,Time,Obs,Qflag,Tree,Age Class,SLA,Na,Pa,Press,PARi,Cond,Ci,Photo,Trmmol,VpdL,StmRat,BLCond,Tair,TBlk,Tleaf,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow
15/11/2001,14:20,3.5,1,6,0,4.762,2.964,0.255,88.01833333,599,0.018816667,159.2833333,2.243333333,0.2555,1.178333333,1,2.84,20.96833333,21.095,21.27333333,359.3,356.5333333,15.163,15.4655,53.575,54.63833333,500.2833333
15/11/2001,14:27,15.5,1,6,0,5.642,2.625,0.226,88.01,601,0.248833333,259.1666667,11.53333333,2.583333333,0.97,1,2.84,21.57666667,21.675,21.385,359.5833333,344.45,14.96916667,18.01566667,50.95333333,61.325,499.5833333
15/11/2001,14:31,21.5,1,6,0,4.573,2.863,0.267,88.00666667,600,0.185833333,252.1666667,9.8,1.995,0.984166667,1,2.84,21.26666667,21.42,21.06833333,359.45,346.8,14.94066667,17.2975,51.82,59.995,499.2833333
15/11/2001,14:40,33.5,1,6,1,4.288,2.881,0.22,88.00666667,600,0.204166667,266.6666667,9.021666667,2.13,0.960166667,1,2.84,20.845,20.93166667,20.86,359.2666667,347.4666667,14.69083333,17.20233333,52.29833333,61.24,499.1833333
15/11/2001,14:53,45.5,1,5,0,5.794,2.086,0.211,87.95,600,0.0938,217,7.278333333,1.026666667,0.972166667,1,2.84,19.775,19.90666667,20.00333333,359.05,349.8666667,14.41916667,15.632,54.80833333,59.415,499.4666667
15/11/2001,15:03,57.5,1,5,1,4.393,2.576,0.348,87.92833333,1499,0.175666667,222,12.23333333,1.896666667,0.986666667,1,2.84,19.70666667,19.69833333,20.57166667,359.55,344.2333333,14.16766667,16.40633333,54.06166667,62.605,500.0333333
15/11/2001,15:08,63.5,1,5,0,4.466,2.83,0.244,87.925,599,0.128666667,214,9.99,1.358333333,0.951833333,1,2.84,19.73666667,19.84,19.84833333,360.9,348.3166667,14.00966667,15.61433333,53.36,59.47,500.5666667
15/11/2001,15:16,ac3,1,5,0,4.466,2.83,0.244,87.91833333,1499,0.121166667,190.6666667,11.06666667,1.61,1.19,1,2.84,20.26166667,20.27666667,21.55166667,361.6,347.6833333,13.9285,15.82833333,51.34666667,58.35166667,500.3666667
15/11/2001,16:18,ac4,1,6,1,4.288,2.881,0.22,87.92,850,0.120333333,213.6666667,9.416666667,1.515,1.128333333,1,2.84,20.41333333,20.47333333,20.85833333,361.2,349.3,13.51216667,15.3015,49.35166667,55.89,500.4333333
15/11/2001,17:05,3.5,1,6,0,4.762,2.964,0.255,87.895,399,0.079033333,216,6.228333333,0.939,1.05,1,2.84,19.62,19.75666667,19.555,358.5666667,350.6833333,12.88383333,13.99583333,49.41333333,53.67833333,499.5
16/11/2001,7:28,3.5,1,7,1,4.182,2.487,0.381,87.68166667,150,0.231833333,301.1666667,6.418333333,1.918333333,0.774666667,1,2.84,13.46666667,13.52,13.11666667,361.6166667,353.45,6.155333333,8.441,34.82833333,47.76,499.6833333
16/11/2001,7:44,15.5,1,7,0,4.507,2.667,0.323,87.70666667,251,0.2455,284.6666667,8.686666667,1.676666667,0.641,1,2.84,14.38666667,14.41666667,14.11166667,360.7166667,349.3166667,9.134,11.12166667,48.70166667,59.295,500.25
16/11/2001,8:36,27.5,1,7,0,4.507,2.667,0.323,87.74333333,249,0.293,290.6666667,9.028333333,2.036666667,0.661833333,1,2.84,15.35833333,15.415,14.84833333,360.4833333,347.95,9.360833333,11.77366667,46.89833333,58.98833333,500.0333333
16/11/2001,8:48,33.5,1,8,1,4.225,2.334,0.265,87.76166667,249,0.310333333,286.8333333,9.716666667,2.138333333,0.6595,1,2.84,15.50333333,15.585,15.03166667,358.45,345.4,9.495,12.02566667,47.14666667,59.71,500.15
16/11/2001,9:09,45.5,1,8,0,3.995,3.193,0.255,87.77333333,150,0.162666667,265,7.836666667,1.396666667,0.783666667,1,2.84,16.14333333,16.23166667,15.80833333,360.2833333,350.4166667,9.952833333,11.6075,47.435,55.32,500.2833333
16/11/2001,10:41,5.5,1,8,1,4.225,2.334,0.265,87.788,1500,0.4662,256.7,19.05,3.95,0.8468,1,2.84,19.013,18.669,19.932,360.11,335.78,12.3161,16.973,48.99,67.511,500.3
16/11/2001,10:52,13.5,1,7,0,4.507,2.667,0.323,87.77166667,1501,0.362833333,246.5,17.6,3.603333333,0.961666667,1,2.84,19.20666667,18.66833333,20.415,360.5333333,337.8666667,12.21316667,16.472,47.98833333,64.725,499.2666667
16/11/2001,11:12,ac2,1,7,1,4.182,2.487,0.381,87.77904762,1502,0.426333333,249.3333333,19.72857143,4.738095238,1.094761905,1,2.84,21.90428571,21.97904762,22.25,364.7666667,338.9666667,12.63442857,18.22495238,42.03714286,60.63857143,499.2333333
16/11/2001,12:21,6.5,1,7,0,4.507,2.667,0.323,87.77916667,1500,0.269083333,256.75,12.52916667,4.136666667,1.4425,1,2.84,23.1225,23.2625,23.34166667,362.1833333,345.325,11.491,16.37233333,35.51333333,50.595,500.2666667
16/11/2001,12:29,18.5,0,8,0,3.995,3.193,0.255,87.78,1500,0.047358333,286.2649167,1.595833333,1.075833333,1.98,1,2.84,23.3275,23.49666667,24.38833333,353.7333333,351.05,11.08525,12.3615,33.83916667,37.73,500.3583333
16/11/2001,12:34,30.5,1,8,0,4.457,3.23,0.244,87.77333333,1501,0.47825,262.5,17.725,5.9325,1.24,1,2.84,23.2575,23.4975,23.01,361.025,337.425,11.03391667,18.01933333,33.81666667,55.22916667,500.3333333
16/11/2001,12:39,42.5,0,8,1,4.225,2.334,0.265,87.77,1500,0.219416667,226.75,14.38333333,3.764166667,1.58,1,2.84,23.23333333,23.38583333,23.72666667,366.275,347.1666667,11.08958333,15.53616667,34.03083333,47.68166667,500.2166667
16/11/2001,14:40,51.5,1,7,0,4.507,2.667,0.323,87.68,1499,0.180833333,215,12.71666667,3.401666667,1.713333333,1,2.84,22.85,22.88833333,23.44333333,359.3,342.6,9.481333333,13.50416667,29.75166667,42.37333333,500.2166667
16/11/2001,14:44,57.5,1,7,1,4.182,2.487,0.381,87.67833333,1499,0.060483333,164.5,6.585,1.396666667,2.02,1,2.84,22.78166667,22.81833333,23.89333333,360.0166667,351.4833333,9.2275,10.88383333,29.07333333,34.29833333,500.4666667
16/11/2001,14:48,63.5,1,7,1,5.268,1.756,0.291,87.68,1500,0.245833333,243.5,12.86666667,4.326666667,1.638333333,1,2.84,22.885,22.98833333,23.325,359.9833333,342.6166667,9.0125,14.12666667,28.22166667,44.22833333,500.4
16/11/2001,14:56,69.5,1,8,0,3.995,3.193,0.255,87.68166667,1500,0.021416667,95.11666667,3.341666667,0.5225,2.11,1,2.84,22.42833333,22.52666667,23.58333333,359.1666667,355.0333333,8.614666667,9.2355,27.72833333,29.72666667,500.2166667
16/11/2001,15:01,75.5,1,8,0,4.457,3.23,0.244,87.68,1500,0.162666667,195,13.56666667,3.051666667,1.7,1,2.84,22.37166667,22.485,22.91666667,361.1,343.7,9.007833333,12.62433333,29.09833333,40.77333333,500.3166667
16/11/2001,15:06,ac3,1,8,1,4.225,2.334,0.265,87.67285714,1501,0.151714286,214.2857143,11.1,2.965714286,1.764285714,1,2.84,22.46428571,22.57571429,23.12142857,360.0714286,345.5571429,8.774714286,12.28642857,28.18428571,39.46428571,500.3285714
16/11/2001,15:48,3.5,1,8,0,4.457,3.23,0.244,87.62833333,1499,0.06015,162.5,6.628333333,1.415,2.06,1,2.84,22.32333333,22.42666667,23.50666667,360.4666667,351.8666667,7.988,9.669333333,25.86333333,31.30666667,500.2166667
16/11/2001,15:50,9.5,1,8,0,3.995,3.193,0.255,87.62,1500,0.013216667,156.3333333,1.566666667,0.349333333,2.273333333,1,2.84,22.65666667,22.74,24.08,359.4666667,357.25,7.976833333,8.3935,25.31333333,26.63333333,500.2166667
16/11/2001,15:58,15.5,1,7,1,4.182,2.487,0.381,87.61833333,1501,0.247833333,218.1666667,16.31666667,4.208333333,1.581666667,1,2.84,22.72,22.82,23.13666667,360.9333333,339.5833333,9.4245,14.41133333,29.785,45.545,499.2333333
16/11/2001,16:01,21.5,1,7,1,5.268,1.756,0.291,87.62,1499,0.247,238.3333333,13.53333333,3.993333333,1.506666667,1,2.84,22.49166667,22.60666667,22.90333333,358.8833333,340.7666667,10.09583333,14.8245,32.35333333,47.50333333,499.4666667
16/11/2001,16:06,ac4,1,7,0,4.507,2.667,0.323,87.61571429,1501,0.076228571,213.2857143,5.735714286,1.717142857,1.98,1,2.84,23.23428571,23.32571429,24.28857143,354.1571429,346.5428571,10.15457143,12.19057143,31.10714286,37.34714286,499.8428571
16/11/2001,16:54,3.5,1,7,1,5.268,1.756,0.291,87.60833333,1501,0.080566667,182.6666667,7.745,1.916666667,2.091666667,1,2.84,24.04333333,24.15166667,25.05,360.5,350.55,10.2645,12.5355,29.95,36.57333333,500.2166667
16/11/2001,16:56,9.5,1,7,1,4.182,2.487,0.381,87.60333333,1500,0.035916667,148,4.373333333,0.908166667,2.19,1,2.84,23.90333333,24.00666667,25.05333333,360.9833333,355.35,10.32616667,11.40316667,30.38166667,33.55,500.3333333
16/11/2001,16:59,15.5,1,7,1,4.993,2.648,0.328,87.605,1500,0.195166667,221.6666667,13.03333333,3.575,1.675,1,2.84,23.31,23.41666667,23.78166667,360.85,343.6333333,10.41066667,14.63733333,31.73833333,44.62666667,500.25
16/11/2001,17:12,21.5,1,8,0,3.995,3.193,0.255,87.59833333,1500,0.01895,165.1666667,2.138333333,0.441833333,2.008333333,1,2.84,22.59,22.625,23.975,359.0833333,356.4,10.69433333,11.21816667,34.05166667,35.72166667,500.2
16/11/2001,17:14,27.5,1,8,0,4.457,3.23,0.244,87.59666667,1499,0.044316667,152.5,5.238333333,0.950833333,1.863333333,1,2.84,22.45,22.47333333,23.50333333,359.5833333,352.9166667,10.75533333,11.88233333,34.54666667,38.16666667,500.25
16/11/2001,17:16,33.5,1,8,1,4.225,2.334,0.265,87.59666667,1500,0.044566667,179,4.56,0.959333333,1.87,1,2.84,22.065,22.07,23.56833333,360.0166667,354.0666667,10.81983333,11.95633333,35.57166667,39.31,500.4166667
11/02/2002,11:01,15.5,1,7,1,4.143,2.995,0.511,87.065,700,0.2985,267.1666667,12.58333333,1.445,0.457333333,1,2.84,16.14,16.24,16.22833333,359.05,343.1333333,14.30433333,16.01466667,67.63333333,75.71833333,499.5333333
11/02/2002,17:04,6.5,1,7,1,4.143,2.995,0.511,87.15,1499,0.373,243.5,18.15,4.425,1.1325,1,2.84,25.6025,25.9125,25.385,359.825,336.25,19.132,24.32075,50.5875,64.31,499.275
11/02/2002,17:27,ac4,1,7,1,4.143,2.995,0.511,87.1575,1500,0.32025,247.75,16.05,2.655,0.78175,1,2.84,21.7075,21.79,22.4575,359.775,339.475,19.22475,22.3355,64.2775,74.68,500.35
11/02/2002,11:19,45.5,1,7,1,3.505,3.574,0.559,87.085,700,0.331333333,267.3333333,13.73333333,1.761666667,0.506833333,1,2.84,17.09166667,17.07,17.32833333,360.2166667,343.0666667,14.90333333,16.98016667,66.34,75.585,500.45
11/02/2002,16:11,ac3,1,7,1,3.505,3.574,0.559,87.15,1500,0.2825,243.75,14.9,2.77,0.9165,1,2.84,21.495,21.6725,22.1125,359.275,340.25,16.885,20.141,57.1975,68.225,500.325
